epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
83,11183.3,0.92421,1.63797,0.70171,1.25719,0,0.80348,0.72299,0.74609,0.51972,0.80701,0.73345,0.75445,0.48259,1.16439,2.18817,0.93902,1.32244,0,0.000647,0.000647,0.000647
84,11316.6,0.94057,1.67298,0.72952,1.25845,0,0.78921,0.73904,0.75951,0.52398,0.79408,0.74332,0.76258,0.4941,1.16943,2.21264,0.94531,1.32986,0,0.0006305,0.0006305,0.0006305
85,11449.2,0.94452,1.69517,0.72391,1.25678,0,0.76808,0.73904,0.74779,0.51857,0.77519,0.74545,0.75648,0.48722,1.18106,2.19582,0.96933,1.32339,0,0.000614,0.000614,0.000614
86,11581.7,0.9087,1.60768,0.67093,1.23092,0,0.76277,0.75187,0.74635,0.51977,0.8174,0.72513,0.75778,0.48961,1.17188,2.24842,0.94585,1.33209,0,0.0005975,0.0005975,0.0005975
87,11714.8,0.90446,1.59052,0.66962,1.22717,0,0.79836,0.72412,0.74445,0.5168,0.80456,0.73088,0.74752,0.48369,1.17745,2.24287,0.97016,1.33867,0,0.000581,0.000581,0.000581
88,11848,0.89301,1.59408,0.67413,1.2165,0,0.81257,0.72333,0.7513,0.52331,0.82193,0.73048,0.75398,0.48984,1.17332,2.26756,0.95416,1.33808,0,0.0005645,0.0005645,0.0005645
89,11981.4,0.90024,1.59719,0.65907,1.22518,0,0.8193,0.72255,0.7505,0.52171,0.82763,0.72834,0.75511,0.48559,1.17605,2.28773,0.94819,1.33904,0,0.000548,0.000548,0.000548
90,12114.3,0.92179,1.66149,0.691,1.25097,0,0.79423,0.73478,0.74355,0.52277,0.80347,0.74334,0.7495,0.48805,1.15844,2.22438,0.9406,1.32525,0,0.0005315,0.0005315,0.0005315
91,12247.1,0.9012,1.62927,0.66086,1.23226,0,0.77651,0.74545,0.74692,0.52059,0.80672,0.72834,0.74886,0.48378,1.16057,2.22903,0.91895,1.34194,0,0.000515,0.000515,0.000515
92,12379.8,0.8863,1.58246,0.6568,1.21599,0,0.79779,0.72999,0.74836,0.51801,0.80129,0.7332,0.75004,0.48594,1.16265,2.23241,0.94523,1.33139,0,0.0004985,0.0004985,0.0004985
93,12513.4,0.87916,1.58637,0.64007,1.21623,0,0.78123,0.74092,0.74477,0.52361,0.79096,0.74461,0.74694,0.48964,1.16964,2.22897,0.94786,1.34183,0,0.000482,0.000482,0.000482
94,12645.6,0.88186,1.56152,0.64025,1.21518,0,0.80845,0.74028,0.75242,0.52797,0.81011,0.74866,0.75687,0.4936,1.17843,2.25867,0.93325,1.35663,0,0.0004655,0.0004655,0.0004655
95,12777.8,0.86274,1.56522,0.63568,1.20342,0,0.77591,0.74225,0.75623,0.52793,0.77706,0.75302,0.75688,0.49563,1.16867,2.21189,0.93576,1.33243,0,0.000449,0.000449,0.000449
96,12910.5,0.86517,1.54879,0.63429,1.19036,0,0.80763,0.73797,0.75169,0.52655,0.81514,0.74652,0.76022,0.49905,1.18187,2.24219,0.94733,1.35078,0,0.0004325,0.0004325,0.0004325
97,13043.1,0.87869,1.55894,0.63407,1.20659,0,0.80957,0.7508,0.75817,0.53004,0.80903,0.75829,0.76524,0.50106,1.15825,2.23146,0.91859,1.34233,0,0.000416,0.000416,0.000416
98,13178.3,0.8544,1.56188,0.63686,1.20051,0,0.79106,0.73583,0.75273,0.5292,0.798,0.73797,0.75295,0.5004,1.13864,2.23247,0.94945,1.33288,0,0.0003995,0.0003995,0.0003995
99,13312.3,0.84906,1.5301,0.61863,1.19003,0,0.80385,0.74332,0.74765,0.53355,0.80931,0.74866,0.75718,0.50093,1.14732,2.21441,0.93795,1.32206,0,0.000383,0.000383,0.000383
100,13446.9,0.86586,1.54995,0.63097,1.20768,0,0.80083,0.71814,0.75194,0.53294,0.80623,0.71979,0.75539,0.49604,1.12689,2.25316,0.9237,1.32253,0,0.0003665,0.0003665,0.0003665
101,13580.5,0.84639,1.53339,0.61738,1.18696,0,0.77993,0.73262,0.75295,0.53102,0.78579,0.73797,0.75535,0.49994,1.13898,2.23334,0.93506,1.3294,0,0.00035,0.00035,0.00035
102,13714.5,0.8532,1.51505,0.6083,1.1874,0,0.8183,0.7225,0.74428,0.52736,0.82124,0.73048,0.74705,0.49503,1.14263,2.20632,0.93832,1.34139,0,0.0003335,0.0003335,0.0003335
103,13847.8,0.85092,1.54472,0.61998,1.19985,0,0.8181,0.70802,0.74832,0.53316,0.81454,0.71868,0.75588,0.49813,1.13387,2.20621,0.93362,1.32476,0,0.000317,0.000317,0.000317
104,13980.5,0.86052,1.53748,0.61468,1.19873,0,0.80838,0.7123,0.74498,0.53704,0.76596,0.75508,0.75177,0.50295,1.11825,2.21096,0.92852,1.31549,0,0.0003005,0.0003005,0.0003005
105,14112.8,0.83802,1.51867,0.60187,1.18077,0,0.7853,0.75111,0.75601,0.54388,0.79345,0.76364,0.76197,0.50805,1.11803,2.20639,0.91479,1.31257,0,0.000284,0.000284,0.000284
106,14247.7,0.81758,1.50669,0.59547,1.17473,0,0.80262,0.73797,0.75908,0.54052,0.80835,0.74545,0.76189,0.50566,1.11723,2.17928,0.89852,1.31236,0,0.0002675,0.0002675,0.0002675
107,14381.5,0.81672,1.50042,0.58517,1.16147,0,0.81349,0.72834,0.75487,0.54051,0.82118,0.73583,0.75984,0.50615,1.1077,2.20111,0.92607,1.30529,0,0.000251,0.000251,0.000251
108,14515.5,0.81953,1.52621,0.5789,1.16862,0,0.79396,0.7369,0.75329,0.53814,0.80106,0.74332,0.75768,0.50213,1.10971,2.18772,0.90342,1.31605,0,0.0002345,0.0002345,0.0002345
